name,organisation,country,url,url_api,description,location,has_issue,issue_type,code_en
Datos Abiertos Tuluá,Alcaldía de Tuluá,Colombia,http://datos.tulua.gov.co/,,"Government, Health, City, Edication","4.0905512, -76.2541315",,,Colombia - Datos Abiertos Tuluá
Datos Argentina,Gobierno de la República Argentina,Argentina,http://www.datos.gob.ar/,,,"-34.6156625, -58.5033598",,,Argentina - Datos Argentina
Datos El Salvador,Open Knowledge International - El Salvador,El Salvador,http://www.datoselsalvador.org/,,,"13.7739997, -89.2086773",,,El Salvador - Datos El Salvador
Datos Peru,Peru,Peru,http://www.datosperu.org/,,,"-12.0433, -77.0283",,,Peru - Datos Peru
Datos Publicos,garagelab.tumblr.com/,Argentina,http://datospublicos.org/,,,"-34.6156625, -58.5033601",,,Argentina - Datos Publicos
Datos Rio,Brazil,Brazil,http://data.rio/,,,"-22.9083, -43.1964",,,Brazil - Datos Rio
Datos.gob.cl,Gobierno De Chile (chile Government),Chile,http://www.data.gov.cl/,,"Official Chile government open data site.

From the beta welcome message:

Welcome to datos.gob

This beta version of the site has been developed as part of our Open Government policies designed to promote a more transparent and participatory state.

Currently the site contains a limited set of datasets available under Creative Commons. We are working on the publication of progressively more data in open formats, so your comments and suggestions are vital to help us improve this platform and bring it to more users.","-33.3587068216, -69.7702217102",,,Chile - Datos.gob.cl
Datos.gub.uy - Catálogo De Datos Abiertos,State Of Uruguay,Uruguay,https://catalogodatos.gub.uy/,,Official Data Catalog for Uruguay.,"-33.0, -56.0",,,Uruguay - Datos.gub.uy - Catálogo De Datos Abiertos
"Dauphin County,PA","Dauphin County,PA",United States,http://data.dauphinco.opendata.arcgis.com,,Arcgis OpenData Portal,"40.4020117974, -76.7885",,,"United States - Dauphin County,PA"
DBLP computer science bibliography,Schloss Dagstuhl - Leibniz Center for Informatics,Germany,http://dblp.org,,computer science,"49.5308783, 6.8972197",,,Germany - DBLP computer science bibliography
DBSNE Open Data Site-Copy,DBSNE Open Data Site-Copy,United States,http://open.dbsne.opendata.arcgis.com,,Arcgis OpenData Portal,"38.1454963093, -95.2214201167",TRUE,,United States - DBSNE Open Data Site-Copy
Dc Gis,United States,United States,http://dcgis.dc.gov,,,"38.8897, -77.0111",,,United States - Dc Gis
"De Leon, Tx Open Data",United States,United States,http://deleon.socrata.com,,,"32.1097, -98.5386",,,"United States - De Leon, Tx Open Data"
Debt Watch California,California State Treasurer,United States,http://debtwatch.treasurer.ca.gov/,,,"38.5776152, -121.4952904",,,United States - Debt Watch California
Delaware County Indiana Open Data-Copy,Delaware County Indiana Open Data-Copy,United States,http://getdata-1.delcogis.opendata.arcgis.com,,Arcgis OpenData Portal,"40.2335465813, -85.4257353022",,,United States - Delaware County Indiana Open Data-Copy
Delaware Geological Survey,United States,United States,http://dgs.udel.edu,,,"39.0, -75.5",,,United States - Delaware Geological Survey
Delaware Open Data,United States,United States,http://delaware.gov/topics/data.shtml,,,"39.0, -75.5",,,United States - Delaware Open Data
demo,demo,Thailand,http://demo.esrith.opendata.arcgis.com,,Arcgis OpenData Portal,"13.5533867309, 101.4365",,,Thailand - demo
Demo INE,Demo INE,Spain,http://demoine.esrism.opendata.arcgis.com,,Arcgis OpenData Portal,"39.8488541708, -3.049375",FALSE,,Spain - Demo INE
Democratic Republic Of The Congo Open Data,"Congo, Democratic Republic Of The","Congo, Democratic Republic Of The",http://drcongo.opendataforafrica.org/,,,"-2.88, 23.656",,,"Congo, Democratic Republic Of The - Democratic Republic Of The Congo Open Data"
"Denton, Tx Open Data",United States,United States,http://data.cityofdenton.com,,,"33.2164, -97.1292",,,"United States - Denton, Tx Open Data"
Denver Open Data Catalog,City And County Of Denver,United States,http://data.denvergov.org/,,"Official data portal for the City and County of Denver, Colorado, created in partnership with Open Colorado.","39.7391536, -104.9847034",,,United States - Denver Open Data Catalog
